date,apy,tvl_usd
2023-02-13,0.04457,5067
2023-02-14,0.19279,15866
2023-02-15,1.74679,6495
2023-02-16,2.44537,4801
2023-02-17,2.68303,4818
2023-02-18,1.73953,57845
2023-02-19,2.91282,35086
2023-02-20,3.08022,53241
2023-02-21,1.76135,147716
2023-02-22,2.59049,92121
2023-02-23,0.06249,2809057
2023-02-24,1.58394,1193088
2023-02-25,1.94059,1078655
2023-02-26,2.31497,875996
2023-02-27,2.22003,978012
2023-02-28,2.16497,1100648
2023-03-01,3.00414,592785
2023-03-02,3.55285,481794
2023-03-03,3.1822,532433
2023-03-04,3.21696,518795
2023-03-05,1.51946,2823233
2023-03-06,2.24855,1769459
2023-03-07,2.61702,1444643
2023-03-08,2.44071,1712497
2023-03-09,2.38985,1935856
2023-03-10,1.5518,4380662
2023-03-11,67.93641,18075
2023-03-12,68.37439,1511
2023-03-13,2.94744,5291701
2023-03-14,3.02562,4064924
2023-03-15,2.48641,6888098
2023-03-16,2.37987,7670264
2023-03-17,2.7153,5901331
2023-03-18,2.45797,7816851
2023-03-19,2.37919,8447669
2023-03-20,2.6345,7502219
2023-03-21,2.43555,8649992
2023-03-22,2.2588,9803752
2023-03-23,2.45573,7617577
2023-03-24,2.46718,7787196
2023-03-25,1.43481,18382023
2023-03-26,2.41155,10236182
2023-03-27,2.04573,14426430
2023-03-28,2.2231,12312149
2023-03-29,2.19374,13381750
2023-03-30,2.27649,13247537
2023-03-31,1.9723,17456479
2023-04-01,1.46244,23059924
2023-04-02,1.73037,18324745
2023-04-03,1.59298,23615524
2023-04-04,1.76944,20107017
2023-04-05,2.22662,14120669
2023-04-06,2.77147,8332207
2023-04-07,2.77805,8272911
2023-04-08,2.28764,13418726
2023-04-09,2.24759,13866902
2023-04-10,2.38528,12506610
2023-04-11,2.49301,11888327
2023-04-12,2.55124,11294459
2023-04-13,2.77142,10213519
2023-04-14,2.75201,10370307
2023-04-15,2.42312,14455793
2023-04-16,1.94379,19828869
2023-04-17,2.35295,14058967
2023-04-18,2.3222,14498447
2023-04-19,2.43444,13349645
2023-04-20,2.44264,13221985
2023-04-21,1.794,20583520
2023-04-22,2.10425,16746934
2023-04-23,2.11976,17269736
2023-04-24,1.9646,19105012
2023-04-25,2.0906,18043169
2023-04-26,2.53109,12719411
2023-04-27,2.23289,16885717
2023-04-28,1.75599,25008993
2023-04-29,2.0084,21169795
2023-04-30,2.18242,17538026
2023-05-01,2.16759,18005469
2023-05-02,2.11354,19044453
2023-05-03,2.17826,17969530
2023-05-04,2.36055,15836083
2023-05-05,2.47868,14503632
2023-05-06,2.59887,13128390
2023-05-07,2.73135,11712815
