APY,APY_BASE,APY_REWARD,TVL,DATE
0.04457,0.04457,,5067,2023-02-13T23:01:01.424Z
0.19279,0.19279,,15866,2023-02-14T23:01:08.738Z
1.74679,1.74679,,6495,2023-02-15T23:01:10.417Z
2.44537,2.44537,,4801,2023-02-16T23:00:59.897Z
2.68303,2.68303,,4818,2023-02-17T23:00:58.921Z
1.73953,1.73953,,57845,2023-02-18T23:01:02.363Z
2.91282,2.91282,,35086,2023-02-19T23:01:17.187Z
3.08022,3.08022,,53241,2023-02-20T23:01:03.038Z
1.76135,1.76135,,147716,2023-02-21T23:01:11.643Z
2.59049,2.59049,,92121,2023-02-22T23:00:59.701Z
0.06249,0.06249,,2809057,2023-02-23T23:01:03.904Z
1.58394,1.58394,,1193088,2023-02-24T23:01:10.642Z
1.94059,1.94059,,1078655,2023-02-25T23:01:03.050Z
2.31497,2.31497,,875996,2023-02-26T23:00:58.782Z
2.22003,2.22003,,978012,2023-02-27T23:01:04.341Z
2.16497,2.16497,,1100648,2023-02-28T23:01:11.840Z
3.00414,3.00414,,592785,2023-03-01T23:01:13.690Z
3.55285,3.55285,,481794,2023-03-02T23:01:15.224Z
3.1822,3.1822,,532433,2023-03-03T23:01:10.951Z
3.21696,3.21696,,518795,2023-03-04T23:01:01.391Z
1.51946,1.51946,,2823233,2023-03-05T23:01:15.810Z
2.24855,2.24855,,1769459,2023-03-06T23:01:06.478Z
2.61702,2.61702,,1444643,2023-03-07T23:01:02.881Z
2.44071,2.44071,,1712497,2023-03-08T23:01:11.147Z
2.38985,2.38985,,1935856,2023-03-09T23:01:09.054Z
1.5518,1.5518,,4380662,2023-03-10T23:01:04.936Z
67.93641,67.93641,,18075,2023-03-11T23:01:00.449Z
68.37439,68.37439,,1511,2023-03-12T23:01:15.883Z
2.94744,2.94744,,5291701,2023-03-13T23:01:06.739Z
3.02562,3.02562,,4064924,2023-03-14T23:01:06.754Z
2.48641,2.48641,,6888098,2023-03-15T23:01:08.011Z
2.37987,2.37987,,7670264,2023-03-16T23:01:18.698Z
2.7153,2.7153,,5901331,2023-03-17T23:01:18.338Z
2.45797,2.45797,,7816851,2023-03-18T23:01:03.829Z
2.37919,2.37919,,8447669,2023-03-19T23:01:10.279Z
2.6345,2.6345,,7502219,2023-03-20T23:01:09.786Z
2.43555,2.43555,,8649992,2023-03-21T23:01:28.710Z
2.2588,2.2588,,9803752,2023-03-22T23:01:12.364Z
2.45573,2.45573,,7617577,2023-03-23T23:01:12.994Z
2.46718,2.46718,,7787196,2023-03-24T23:01:04.570Z
1.43481,1.43481,,18382023,2023-03-25T23:01:08.138Z
2.41155,2.41155,,10236182,2023-03-26T23:01:32.408Z
2.04573,2.04573,,14426430,2023-03-27T23:01:22.114Z
2.2231,2.2231,,12312149,2023-03-28T23:01:05.673Z
2.19374,2.19374,,13381750,2023-03-29T23:01:04.808Z
2.27649,2.27649,,13247537,2023-03-30T23:01:18.141Z
1.9723,1.9723,,17456479,2023-03-31T23:01:12.152Z
1.46244,1.46244,,23059924,2023-04-01T23:01:09.128Z
1.73037,1.73037,,18324745,2023-04-02T23:01:08.023Z
1.59298,1.59298,,23615524,2023-04-03T23:01:07.822Z
1.76944,1.76944,,20107017,2023-04-04T23:01:27.925Z
2.22662,2.22662,,14120669,2023-04-05T23:01:18.786Z
2.77147,2.77147,,8332207,2023-04-06T23:01:06.086Z
2.77805,2.77805,,8272911,2023-04-07T23:01:06.266Z
2.28764,2.28764,,13418726,2023-04-08T23:01:17.999Z
2.24759,2.24759,,13866902,2023-04-09T23:01:07.320Z
2.38528,2.38528,,12506610,2023-04-10T23:01:20.154Z
2.49301,2.49301,,11888327,2023-04-11T23:01:28.463Z
2.55124,2.55124,,11294459,2023-04-12T23:01:22.625Z
2.77142,2.77142,,10213519,2023-04-13T23:01:13.700Z
2.75201,2.75201,,10370307,2023-04-14T23:01:06.941Z
2.42312,2.42312,,14455793,2023-04-15T23:01:10.998Z
1.94379,1.94379,,19828869,2023-04-16T23:01:32.691Z
2.35295,2.35295,,14058967,2023-04-17T23:01:06.139Z
2.3222,2.3222,,14498447,2023-04-18T23:01:16.484Z
2.43444,2.43444,,13349645,2023-04-19T23:01:12.118Z
2.44264,2.44264,,13221985,2023-04-20T23:01:35.251Z
1.794,1.794,,20583520,2023-04-21T23:01:13.494Z
2.10425,2.10425,,16746934,2023-04-22T23:01:07.039Z
2.11976,2.11976,,17269736,2023-04-23T23:01:14.062Z
1.9646,1.9646,,19105012,2023-04-24T23:01:16.874Z
2.0906,2.0906,,18043169,2023-04-25T23:01:21.281Z
2.53109,2.53109,,12719411,2023-04-26T23:01:30.412Z
2.23289,2.23289,,16885717,2023-04-27T23:01:06.929Z
1.75599,1.75599,,25008993,2023-04-28T23:00:59.050Z
2.0084,2.0084,,21169795,2023-04-29T23:01:07.777Z
2.18242,2.18242,,17538026,2023-04-30T23:01:09.569Z
2.16759,2.16759,,18005469,2023-05-01T23:00:59.459Z
2.11354,2.11354,,19044453,2023-05-02T23:01:02.663Z
